adm3_affected,adm2_pop_weight_perc_affected,adm2_affected,adm1_pop_weight_perc_affected,adm1_affected,adm0_name,Date,Policy,Opt,Source,AccessDate,Notes
Codogno,0.06920549257,Lodi,0.001584348814,Lombardy,Italy,02/23/2020,no_gathering,N,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-italy-lockdown-coronavirus-12298246/
Fombio,0.01011903467,Lodi,0.0002316590775,Lombardy,Italy,02/23/2020,no_gathering,N,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-italy-lockdown-coronavirus-12298246/
Maleo,0.01363567123,Lodi,0.0003121668344,Lombardy,Italy,02/23/2020,no_gathering,N,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-italy-lockdown-coronavirus-12298246/
San Fiorano,0.008012534546,Lodi,0.0001834341341,Lombardy,Italy,02/23/2020,no_gathering,N,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-italy-lockdown-coronavirus-12298246/
Somaglia,0.01652558048,Lodi,0.0003783266742,Lombardy,Italy,02/23/2020,no_gathering,N,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-italy-lockdown-coronavirus-12298246/
Terranova dei Passerini,0.003995386591,Lodi,0.00009146797126,Lombardy,Italy,02/23/2020,no_gathering,N,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-italy-lockdown-coronavirus-12298246/
Vo'Eugane,0.003566624677,Padua,0.0006811416922,Veneto,Italy,02/23/2020,no_gathering,N,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-italy-lockdown-coronavirus-12298246/
Bertonico,0.004905011642,Lodi,0.0001122923787,Lombardy,Italy,02/23/2020,school_closure,N,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-italy-lockdown-coronavirus-12298246/
Casalpusterlengo,0.06650273105,Lodi,0.001522473421,Lombardy,Italy,02/23/2020,school_closure,N,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-italy-lockdown-coronavirus-12298246/
Castelgerundo,0.006480534459,Lodi,0.0001483614479,Lombardy,Italy,02/23/2020,school_closure,N,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-italy-lockdown-coronavirus-12298246/
Castiglione d'Adda,0.0202424216,Lodi,0.0004634177934,Lombardy,Italy,02/23/2020,school_closure,N,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-italy-lockdown-coronavirus-12298246/
Codogno,0.06920549257,Lodi,0.001584348814,Lombardy,Italy,02/23/2020,school_closure,N,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-italy-lockdown-coronavirus-12298246/
Fombio,0.01011903467,Lodi,0.0002316590775,Lombardy,Italy,02/23/2020,school_closure,N,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-italy-lockdown-coronavirus-12298246/
Maleo,0.01363567123,Lodi,0.0003121668344,Lombardy,Italy,02/23/2020,school_closure,N,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-italy-lockdown-coronavirus-12298246/
San Fiorano,0.008012534546,Lodi,0.0001834341341,Lombardy,Italy,02/23/2020,school_closure,N,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-italy-lockdown-coronavirus-12298246/
Somaglia,0.01652558048,Lodi,0.0003783266742,Lombardy,Italy,02/23/2020,school_closure,N,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-italy-lockdown-coronavirus-12298246/
Terranova dei Passerini,0.003995386591,Lodi,0.00009146797126,Lombardy,Italy,02/23/2020,school_closure,N,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-italy-lockdown-coronavirus-12298246/
Vo'Eugane,0.003566624677,Padua,0.0006811416922,Veneto,Italy,02/23/2020,school_closure,N,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-italy-lockdown-coronavirus-12298246/
Bertonico,0.004905011642,Lodi,0.0001122923787,Lombardy,Italy,02/23/2020,social_distance,N,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-italy-lockdown-coronavirus-12298246/
Casalpusterlengo,0.06650273105,Lodi,0.001522473421,Lombardy,Italy,02/23/2020,social_distance,N,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-italy-lockdown-coronavirus-12298246/
Castelgerundo,0.006480534459,Lodi,0.0001483614479,Lombardy,Italy,02/23/2020,social_distance,N,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-italy-lockdown-coronavirus-12298246/
Castiglione d'Adda,0.0202424216,Lodi,0.0004634177934,Lombardy,Italy,02/23/2020,social_distance,N,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-italy-lockdown-coronavirus-12298246/
Codogno,0.06920549257,Lodi,0.001584348814,Lombardy,Italy,02/23/2020,social_distance,N,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-italy-lockdown-coronavirus-12298246/
Fombio,0.01011903467,Lodi,0.0002316590775,Lombardy,Italy,02/23/2020,social_distance,N,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-italy-lockdown-coronavirus-12298246/
Maleo,0.01363567123,Lodi,0.0003121668344,Lombardy,Italy,02/23/2020,social_distance,N,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-italy-lockdown-coronavirus-12298246/
San Fiorano,0.008012534546,Lodi,0.0001834341341,Lombardy,Italy,02/23/2020,social_distance,N,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-italy-lockdown-coronavirus-12298246/
Somaglia,0.01652558048,Lodi,0.0003783266742,Lombardy,Italy,02/23/2020,social_distance,N,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-italy-lockdown-coronavirus-12298246/
Terranova dei Passerini,0.003995386591,Lodi,0.00009146797126,Lombardy,Italy,02/23/2020,social_distance,N,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-italy-lockdown-coronavirus-12298246/
Vo'Eugane,0.003566624677,Padua,0.0006811416922,Veneto,Italy,02/23/2020,social_distance,N,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-italy-lockdown-coronavirus-12298246/
Bertonico,0.004905011642,Lodi,0.0001122923787,Lombardy,Italy,02/23/2020,work_from_home,N,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-italy-lockdown-coronavirus-12298246/
Casalpusterlengo,0.06650273105,Lodi,0.001522473421,Lombardy,Italy,02/23/2020,work_from_home,N,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-italy-lockdown-coronavirus-12298246/
Castelgerundo,0.006480534459,Lodi,0.0001483614479,Lombardy,Italy,02/23/2020,work_from_home,N,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-italy-lockdown-coronavirus-12298246/
Castiglione d'Adda,0.0202424216,Lodi,0.0004634177934,Lombardy,Italy,02/23/2020,work_from_home,N,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-italy-lockdown-coronavirus-12298246/
Codogno,0.06920549257,Lodi,0.001584348814,Lombardy,Italy,02/23/2020,work_from_home,N,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-italy-lockdown-coronavirus-12298246/
Fombio,0.01011903467,Lodi,0.0002316590775,Lombardy,Italy,02/23/2020,work_from_home,N,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-italy-lockdown-coronavirus-12298246/
Maleo,0.01363567123,Lodi,0.0003121668344,Lombardy,Italy,02/23/2020,work_from_home,N,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-italy-lockdown-coronavirus-12298246/
San Fiorano,0.008012534546,Lodi,0.0001834341341,Lombardy,Italy,02/23/2020,work_from_home,N,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-italy-lockdown-coronavirus-12298246/
Somaglia,0.01652558048,Lodi,0.0003783266742,Lombardy,Italy,02/23/2020,work_from_home,N,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-italy-lockdown-coronavirus-12298246/
Terranova dei Passerini,0.003995386591,Lodi,0.00009146797126,Lombardy,Italy,02/23/2020,work_from_home,N,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-italy-lockdown-coronavirus-12298246/
Vo'Eugane,0.003566624677,Padua,0.0006811416922,Veneto,Italy,02/23/2020,work_from_home,N,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-italy-lockdown-coronavirus-12298246/
Bertonico,0.004905011642,Lodi,0.0001122923787,Lombardy,Italy,02/23/2020,transit_suspension,N,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-italy-lockdown-coronavirus-12298246/
Casalpusterlengo,0.06650273105,Lodi,0.001522473421,Lombardy,Italy,02/23/2020,transit_suspension,N,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-italy-lockdown-coronavirus-12298246/
Castelgerundo,0.006480534459,Lodi,0.0001483614479,Lombardy,Italy,02/23/2020,transit_suspension,N,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-italy-lockdown-coronavirus-12298246/
Castiglione d'Adda,0.0202424216,Lodi,0.0004634177934,Lombardy,Italy,02/23/2020,transit_suspension,N,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-italy-lockdown-coronavirus-12298246/
Codogno,0.06920549257,Lodi,0.001584348814,Lombardy,Italy,02/23/2020,transit_suspension,N,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-italy-lockdown-coronavirus-12298246/
Fombio,0.01011903467,Lodi,0.0002316590775,Lombardy,Italy,02/23/2020,transit_suspension,N,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-italy-lockdown-coronavirus-12298246/
Maleo,0.01363567123,Lodi,0.0003121668344,Lombardy,Italy,02/23/2020,transit_suspension,N,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-italy-lockdown-coronavirus-12298246/
San Fiorano,0.008012534546,Lodi,0.0001834341341,Lombardy,Italy,02/23/2020,transit_suspension,N,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-italy-lockdown-coronavirus-12298246/
Somaglia,0.01652558048,Lodi,0.0003783266742,Lombardy,Italy,02/23/2020,transit_suspension,N,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-italy-lockdown-coronavirus-12298246/
Terranova dei Passerini,0.003995386591,Lodi,0.00009146797126,Lombardy,Italy,02/23/2020,transit_suspension,N,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-italy-lockdown-coronavirus-12298246/
Vo'Eugane,0.003566624677,Padua,0.0006811416922,Veneto,Italy,02/23/2020,transit_suspension,N,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-italy-lockdown-coronavirus-12298246/
Bertonico,0.004905011642,Lodi,0.0001122923787,Lombardy,Italy,02/23/2020,travel_ban_local,N,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-italy-lockdown-coronavirus-12298246/
Casalpusterlengo,0.06650273105,Lodi,0.001522473421,Lombardy,Italy,02/23/2020,travel_ban_local,N,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-italy-lockdown-coronavirus-12298246/
Castelgerundo,0.006480534459,Lodi,0.0001483614479,Lombardy,Italy,02/23/2020,travel_ban_local,N,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-italy-lockdown-coronavirus-12298246/
Castiglione d'Adda,0.0202424216,Lodi,0.0004634177934,Lombardy,Italy,02/23/2020,travel_ban_local,N,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-italy-lockdown-coronavirus-12298246/
Codogno,0.06920549257,Lodi,0.001584348814,Lombardy,Italy,02/23/2020,travel_ban_local,N,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-italy-lockdown-coronavirus-12298246/
