adm0_name,adm1_name,adm2_name,policy,policy_description,date_start,date_end,optional,source,access_date,notes,implied_policy
CHN,Hubei,Shennongjia,travel_ban_local,,01/27/2020,3/13/2020,N,http://www.rfi.fr/cn/%E4%B8%AD%E5%9B%BD/20200314-%E6%B9%96%E5%8C%97%E5%B0%81%E9%97%AD%E5%BC%8F%E7%AE%A1%E7%90%86%E6%9D%BE%E7%BB%91-%E4%BD%8E%E9%A3%8E%E9%99%A9%E4%B9%A1%E9%95%87%E7%A4%BE%E5%8C%BA%E5%85%A8%E6%95%B0%E8%A7%A3%E7%A6%81,3/16/2020,,False
CHN,Hubei,Xiangyang,travel_ban_local,,01/28/2020,3/13/2020,N,http://www.rfi.fr/cn/%E4%B8%AD%E5%9B%BD/20200314-%E6%B9%96%E5%8C%97%E5%B0%81%E9%97%AD%E5%BC%8F%E7%AE%A1%E7%90%86%E6%9D%BE%E7%BB%91-%E4%BD%8E%E9%A3%8E%E9%99%A9%E4%B9%A1%E9%95%87%E7%A4%BE%E5%8C%BA%E5%85%A8%E6%95%B0%E8%A7%A3%E7%A6%81,3/16/2020,,False
CHN,Hunan,Changsha,home_isolation,,01/29/2020,,N,https://changsha.ihouse.ifeng.com/news/2020_02_03-52563107_0.shtml,3/17/2020,,False
CHN,Xizang,All,emergency_declaration,Level 1 Emergency Declaration,01/29/2020,,N,http://china.caixin.com/2020-01-29/101509411.html,5/6/2020,,False
CHN,Hunan,Changsha,travel_ban_local,,01/29/2020,,N,https://changsha.ihouse.ifeng.com/news/2020_02_03-52563107_0.shtml,3/17/2020,,True
CHN,Ningxia,Wuzhong,travel_ban_local,,01/31/2020,,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,,True
CHN,Ningxia,Yinchuan,travel_ban_local,,01/31/2020,,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,,True
CHN,Ningxia,Wuzhong,home_isolation,,01/31/2020,,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,,False
CHN,Ningxia,Yinchuan,home_isolation,,01/31/2020,,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,,False
CHN,Hubei,Huanggang,home_isolation,,02/01/2020,,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,4/2/2020,,False
CHN,Guangxi,Guigang,travel_ban_local,in urban districts only,02/02/2020,,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,,True
CHN,Guangxi,Yulin,travel_ban_local,"1 district, Yuzhou",02/02/2020,,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,,True
CHN,Henan,Xinyang,travel_ban_local,"closed management announced Feb 2 but lots of people still traveling from Wuhan, urban poor resume work on March 8 but seems like some workers returned as early as Feb 23 or 26",02/02/2020,03/08/2020,N,http://news.stcn.com/2020/0210/15633808.shtml; http://finance.eastmoney.com/a/202002061374896985.html; http://china.qianlong.com/2020/0315/3844379.shtml; http://finance.eastmoney.com/a/202002241394722886.html,3/17/2020,,True
CHN,Shaanxi,Xi'an,travel_ban_local,"1 district first, then 2 others on Feb 4, 2 more on Feb 5",02/02/2020,,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,,True
CHN,Shandong,Binzhou,travel_ban_local,"1 district, Bincheng",02/02/2020,,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,,True
CHN,Anhui,Bengbu,home_isolation,once every two days,02/02/2020,,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,,False
CHN,Anhui,Huaibei,home_isolation,,02/02/2020,,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,,False
CHN,Zhejiang,Wenzhou,home_isolation,"only one person from each household allowed to go outside once every two days, except for medical reasons or to work at shops or pharmacies",02/02/2020,,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,,False
CHN,Shandong,Binzhou,home_isolation,"1 district, Bincheng",02/02/2020,,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,,False
